Serial Killer Name,Gender,Birthday,Birth Year,Killing Avg Start,Stat Year of First Killing,Country Active,Years Active,Years Killing,Proven victims,IQ Level,Notes
Luis Garavito,M,1/25/1957,1957,29,1986,Colombia,1992-1999,7,138,,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Confessed to killing 140 boys between eight and 16 years old over a seven-year period in Colombia and neighboring countries.[3] He is suspected of murdering over 300 victims, mostly street children.[4][5]"
Pedro López,M,10/8/1948,1948,29,1977,Colombia,1969-1979,10,110,,"Child-murderer and rapist, known as ""The Monster of the Andes"". Targeted young girls, between the ages of eight and 12. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s.[6]"
Javed Iqbal,M,10/8/1956,1956,29,1985,Pakistan,1998-1999,1,100,,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in 1999 thanks to a letter he sent a newspaper, and was set to be executed in the manner described by the judge who stated, ""You will be strangled to death in front of the parents whose children you killed, Your body will then be cut into 100 pieces and put in acid, the same way you killed the children.""[7] However, he died in custody before he could be executed.[8]"
Mikhail Popkov,M,3/7/1964,1964,29,1993,Russia,1992-2010,18,78,,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018.[9][10]"
Daniel Camargo Barbosa,M,1/22/1930,1930,29,1959,Colombia ,1974-1986,12,72,,"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison and he started killing in Ecuador; rearrested in 1986, he was incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López.[citation needed]  Camargo was killed in jail by the nephew of one of his victims.[11][12]"
Pedro Rodrigues Filho,M,6/17/1954,1954,29,1983,Brazil,1967-2003,36,71,,"He claimed to have killed over 100 victims, 47 of them inmates. He also killed his father and ate a piece of his heart. He killed his first two victims at the age of 14; he was first arrested in 1973. Convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years.[13]"
Kampatimar Shankariya,M,,1952,29,1981,India,1977-1978,1,70,,"This mysterious Indian serial killer used a hammer to kill over 70 men and women between 1978 and 1979, his last words were, ""I have murdered in vain,"" he declared. ""Nobody should become like me."". [14][15][16][17]"
Yang Xinhai,M,7/29/1968,1968,29,1997,China,2000-2003,3,67,,"Known as the ""Monster Killer"". Would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. Executed by gunshot in 2004.[18]"
Andrei Chikatilo,M,10/16/1936,1936,29,1965,Soviet Union,1978-1990,12,53,,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Executed by gunshot in 1994.[19]"
Anatoly Onoprienko,M,7/25/1959,1959,29,1988,Soviet Union,1989-1996,7,52,,"Known as ""The Beast of Ukraine"", ""The Terminator"" and ""Citizen O"". Convicted of the murders of nine people in 1989 and 43 people in 1995–1996. Traveled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. Sentenced to death, later commuted to imprisonment for life. Died from heart failure in 2013.[19]"
Samuel Little,M,6/7/1940,1940,29,1969,United States,1970-2005,35,50,,"Was convicted of killing three women, but later investigations linked 31 other murders to him.  Little is now thought to be America's most prolific serial killer. He claims he killed as many as 93 victims total, three above his initial confession of 90, the FBI later confirmed a total of 50 murders linked to Little. The investigations into his crimes are ongoing.[20][21]"
Florisvaldo de Oliveira,M,11/18/1958,1958,29,1987,Brazil,1982-1983,1,50,,"Known as ""Cabo Bruno""; former police officer and vigilante who murdered criminals in the outskirts of São Paulo; murdered by unknown assailants in 2012.[22]"
Willy Pickton,M,10/24/1949,1949,29,1978,Canada,1983-2002,19,49,,"Nicknamed ""The Butcher""; Robert Pickton was a Canadian serial killer who killed 49 women and disposed of their bodies by feeding them to his pigs. He was convicted of only 6 murders but charged for his proven 49 victims. Unfortunately, much to the anger of the victims families, the remaining 43 charges were stayed or dropped."
Gary Ridgway,M,2/18/1949,1949,29,1978,United States,1982-2000,18,49,,"Truck painter who confessed to killing 71 women. Also known as The Green River Killer. He almost exclusively targeted sex workers from Seattle. Suspected of killing over 90 victims, confessed to 71, convicted of 49.[23] Sentenced to life without parole and currently imprisoned in ADX Florence in Colorado.[24]"
Alexander Pichushkin,M,4/9/1974,1974,29,2003,Russia,1992-2006,14,48,,"Known as the Chessboard Killer. Convicted of murdering 48 victims and suspected of killing 60. Claimed to have murdered 62 people, because he did not know that two of his victims had survived; stated goal of becoming Russia's most prolific serial killer.[25] Sentenced to imprisonment for life."
Wang Qiang,M,1/16/1975,1975,29,2004,China,1995-2003,8,45,,Killed 45 and raped 10 from 1995 to 2003.[26] Executed in 2005.
Ahmad Suradji,M,12/12/1952,1952,29,1981,Indonesia,1986-1997,11,42,,Convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. Executed by firing squad in 2008.[27]
Raman Raghav,M,,1995,29,2024,India,1965-1968,3,41,,"In the late 1960s Raman Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their huts while they slept."
Tiago Henrique Gomes da Rocha,M,2/4/1988,1988,29,2017,Brazil,2011-2014,3,39,,Brazilian security guard who confessed to the murders of 39 people. Attempted suicide in prison. Sentenced to 25 years.[28]
