Index,Date,bowl#,superbowl loosers
308,"Jan. 17, 1971",V,Dallas
309,"Jan. 16, 1972",VI,Miami
310,"Jan. 14, 1973",VII,Washington
311,"Jan. 13, 1974",VIII,Minnesota
312,"Jan. 12, 1975",IX,Minnesota
313,"Jan. 18, 1976",X,Dallas
314,"Jan. 9, 1977",XI,Minnesota
315,"Jan. 15, 1978",XII,Denver
316,"Jan. 21, 1979",XIII,Dallas
317,"Jan. 20, 1980",XIV,Los Angeles Rams
318,"Jan. 25, 1981",XV,Philadelphia
319,"Jan. 24, 1982",XVI,Cincinnati
320,"Jan. 30, 1983",XVII,Miami
321,"Jan. 22, 1984",XVIII,Washington
322,"Jan. 20, 1985",XIX,Miami
323,"Jan. 26, 1986",XX,New England
324,"Jan. 25, 1987",XXI,Denver
325,"Jan. 31, 1988",XXII,Denver
326,"Jan. 22, 1989",XXIII,Cincinnati
327,"Jan. 28, 1990",XXIV,Denver
328,"Jan. 27, 1991",XXV,Buffalo
329,"Jan. 26, 1992",XXVI,Buffalo
330,"Jan. 31, 1993",XXVII,Buffalo
331,"Jan. 30, 1994",XXVIII,Buffalo
332,"Jan. 29, 1995",XXIX,San Diego26
333,"Jan. 28, 1996",XXX,Pittsburgh
334,"Jan. 26, 1997",XXXI,New England
335,"Jan. 25, 1998",XXXII,Green
336,"Jan. 31, 1999",XXXIII,Atlanta
337,"Jan. 30, 2000",XXXIV,Tennessee
338,"Jan. 28, 2001",XXXV,New York Giants
339,"Feb. 3, 2002",XXXVI,St. Louis
340,"Jan. 26, 2003",XXXVII,Oakland
341,"Feb. 1, 2004",XXXVIII,Carolina
342,"Feb. 6, 2005",XXXIX,Philadelphia
343,"Feb. 5, 2006",XL,Seattle
344,"Feb. 4, 2007",XLI,Chicago
345,"Feb. 3, 2008",XLII,New England
346,"Feb. 1, 2009",XLIII,Arizona
347,"Feb. 7, 2010",XLIV,Indianapolis
348,"Feb. 6, 2011",XLV,Pittsburgh
349,"Feb. 5, 2012",XLVI,New England
350,"Feb. 3, 2013",XLVII,San Francisco
351,"Feb. 2, 2014",XLVIII,Denver
352,"Feb. 1, 2015",XLIX,Seattle
353,"Feb. 7, 2016",L,Carolina
354,"Feb. 5, 2017",LI,Atlanta
355,"Feb. 4, 2018",LII,New England
356,"Feb. 3, 2019",LIII,Los Angeles Rams
357,"Feb. 2, 2020",LIV,San Francisco
358,"Feb. 7, 2021",LV,Kansas
